100493253RR0001,2016-12-31,2,2,,,,,,,,,,4185,4185
100504679RR0001,2016-06-30,,,,,,,,,,,,,
100504687RR0001,2016-06-30,14,7,7,,,,,,,,39,161347,878451
100523653RR0001,2016-03-31,2,,,,,,,,,,,,8550
100549989RR0001,2016-12-31,2,2,,,,,,,,,10,42714,72686
100560044RR0001,2016-09-30,,,,,,,,,,,,,
100622661RR0001,2016-03-31,9,,8,2,,,,,,,35,914749,2142387
100623602RR0001,2016-06-30,2,2,,,,,,,,,3,8835,61263
100655810RR0001,2016-03-31,10,21,5,,,,,,,,16,105645,426767
100661487RR0001,2016-12-31,1,,1,,,,,,,,1,7511,53200
100681238RR0001,2016-03-31,132,,3,5,1,1,,,,,83,2160326,8858930
100709708RR0001,2016-07-31,,,,,,,,,,,1,27318,27318
100718212RR0001,2016-03-31,7,7,,,,,,,,,,,192280
100731660RR0001,2016-03-31,78,,4,5,1,,,,,,65,1684548,5884666
100749357RR0001,2016-09-30,4,1,3,,,,,,,,126,389268,657075
100750959RR0001,2016-10-31,,,,,,,,,,,4,3095,3095
100754142RR0001,2016-12-31,,,,,,,,,,,,,
100759810RR0001,2016-08-31,,,,,,,,,,,,,
100762590RR0001,2016-12-31,7,2,4,,,1,,,,,2,18203,553404
100762723RR0001,2016-12-31,,,,,,,,,,,4,197736,197736
100763416RR0001,2016-03-31,6,1,2,2,,1,,,,,,,581735
100764638RR0001,2016-12-31,1,1,,,,,,,,,1,,25859
100764646RR0001,2016-12-31,,,,,,,,,,,,,
100765114RR0001,2016-03-31,43,6,3,1,,,,,,,42,506137,1787706
100765882RR0001,2016-12-31,,,,,,,,,,,,,
100766427RR0001,2016-09-30,,,,,,,,,,,,,
100769835RR0001,2016-03-31,2,2,,,,,,,,,2,5224,61177
100772961RR0001,2016-12-31,,,,,,,,,,,,,
100773365RR0001,2016-03-31,,,,,,,,,,,,,
100773779RR0001,2016-12-31,,,,,,,,,,,,,
100774843RR0001,2016-05-31,8,,6,2,,,,,,,,,566705
100804939RR0001,2016-06-30,9,4,5,,,,,,,,97,388470,756529
100807189RR0001,2016-12-31,,,,,,,,,,,13,146962,146962
100810290RR0001,2016-12-31,6,2,4,,,,,,,,10,39264,298376
100814854RR0001,2016-12-31,7,2,4,,,,,,,,6,21104,241534
100815067RR0001,2016-03-31,13,4,6,,,,,,,,75,1097520,1585484
100823830RR0001,2016-12-31,20,1,8,1,,,,,,,10,,1101155
100825074RR0001,2016-03-31,15,15,,,,,,,,,5,126530,377512
100825116RR0001,2016-03-31,5,5,,,,,,,,,7,81496,253927
100825322RR0001,2016-03-31,2,2,,,,,,,,,4,34349,96366
100825439RR0001,2016-12-31,2,2,,,,,,,,,7,80819,150960
100831122RR0001,2016-06-30,5,5,,,,,,,,,4,69385,290242
100844919RR0001,2016-12-31,27,,7,3,,,,,,,12,195684,2451953
100870674RR0001,2016-04-30,,,,,,,,,,,,,
